min_code,acct_code,fee_desc,agency,branch,case_types,statute,distributed_to,category
COSTF,,COURT COSTS (FELONY),,,,,,Procedural Court Fees
COSTM,,COURT COSTS (MISDEMEANOR),,,,,,Procedural Court Fees
COSTT,,COURT COSTS (TRAFFIC),,,,,,Procedural Court Fees
CCDUI,,COURT COSTS ON DUI (MUNICIPAL ARREST),,,,,,Procedural Court Fees
AC60,AC60,COURT DOCKET FEES,,,,,,Procedural Court Fees
CTFD,,COURT FUND,,,,,,Procedural Court Fees
CRFD,,COURT REPORTER FEE,,,,,,Procedural Court Fees
CRF,,COURT REPORTER FEE,,,,,,Procedural Court Fees
REQCR,,COURT REPORTER FEE,,,,,,Procedural Court Fees
AC73,AC73,DA COUNCIL FEE,,,,,,Procedural Court Fees
DACPAD,AC77,DA COUNCIL PROSECUTION ASSESSMENT FEE,,,,,,Procedural Court Fees
AC77,AC77,DA COUNCIL PROSECUTION ASSESSMENT FEE,,,,,,Procedural Court Fees
DACPAF,AC77,DA COUNCIL PROSECUTION ASSESSMENT FEE (FELONY),,,,,,Procedural Court Fees
DACPAM,AC77,DA COUNCIL PROSECUTION ASSESSMENT FEE (MISDEMEANOR),,,,,,Procedural Court Fees
DACPAT,AC77,DA COUNCIL PROSECUTION ASSESSMENT FEE (TRAFFIC),,,,,,Procedural Court Fees
DADRUG,,DA DRUG ASSESSMENT,,,,,,Procedural Court Fees
AC72,AC72,DA INCARCERATION FEE (split),,,,,,Jail Costs / Incarceration Fees
AC74,AC74,DA WITNESS FEE,,,,,,Procedural Court Fees
DFEE,,DEFERRED SENTENCE FEE,,,,,,Procedural Court Fees
AC15,AC15,DEPARTMENT OF WILDLIFE COSTS,,,,,,Procedural Court Fees
AC64,AC64,DISPUTE MEDIATION FEES,,,,,,Procedural Court Fees
DCADMIN,,DISTRICT COURT ADMINISTRATIVE FEE,,,,,,Procedural Court Fees
DCADMIN50,,DISTRICT COURT ADMINISTRATIVE FEE ON $50 COLLECTIONS,,,,,,Procedural Court Fees
AC67,AC67,DISTRICT COURT REVOLVING FUND,,,,,,Procedural Court Fees
ACO3,ACO3,DISTRICT FIRE DEPARTMENTS,,,,,,Procedural Court Fees
DNAO,,DNA LAB FEE,,,,,,Procedural Court Fees
AC84,AC84,DOC SUPERVISION FEE,,,,,,Procedural Court Fees
COPY,,DOCUMENT COPYING FEES,,,,,,Procedural Court Fees
IDEA,,DPS IMPAIRED DRIVER DATABASE FEE,,,,,,Procedural Court Fees
AC04,AC04,DPS MOTORCYCLE SAFETY AND DRUNK DRIVING AWARENESS FUND,,,,,,DPS
AC71,AC71,DPS PATROL VEHICLE REVOLVING FUND,,,,,,Procedural Court Fees
DPSFEE,AC71,DPS PATROL VEHICLE REVOLVING FUND,,,,,,Procedural Court Fees
AC82,AC82,DPS REVOLVING FUND FINE (child restraint),,,,,,Procedural Court Fees
AC32,AC32,DRUG ABUSE EDUC/TREATMENT (DRUG COURT PROGRAM USER FEE),,,,,,Treatment / Rehabilitation Fees
AC33,AC33,DRUG ABUSE EDUC/TREATMENT (MEN. HEALTH FEE),,,,,,Treatment / Rehabilitation Fees
DRUG,,DRUG ABUSE EDUCATION / TREATMENT FEE,,,,,,Procedural Court Fees
AC27,AC27,DRUG ABUSE EDUCATION FUND,,,,,,Procedural Court Fees
DRUGA,,DRUG ABUSE EDUCATION TREATMENT ADMINISTRATIVE FEE,,,,,,Procedural Court Fees
DCPF,,DRUG COURT PROGRAM FEE,,,,,,Treatment / Rehabilitation Fees
AC25,AC25,DRUG TRAFFICKING,,,,,,Drug Trafficking
DTFA,,DRUG TRAFFICKING - ARRESTING AGENCY,,,,,,Drug Trafficking
DTFC,,DRUG TRAFFICKING - COURT FUND,,,,,,Drug Trafficking
DTFR,,DRUG TRAFFICKING - DA REVOLVING FUND,,,,,,Drug Trafficking
DTFE,,DRUG TRAFFICKING - DoE DRUG ABUSE EDUCATION FUND,,,,,,Drug Trafficking
DTSPEC,,DRUG TRAFFICKING - FINE,,,,,,Drug Trafficking
AC83,AC83,"ELECTRONIC MONITORING /SUPERVISION FEE (for counties with population of 400,000 or more)",,,,,,Procedural Court Fees
EMF,AC83,"ELECTRONIC MONITORING /SUPERVISION FEE (for counties with population of 400,000 or more)",,,,,,Procedural Court Fees
FTRCA,,FAILURE TO REPORT TO COST ADMINISTRATOR,,,,,,Procedural Court Fees
AC14,AC14,FINES,,,,,,Statutory Fines
FINE,AC14,FINES PAYABLE TO COUNTY,,,,,,Statutory Fines
AC75,AC75,FORENSIC SCIENCE IMPROVEMENT ASSESSMENT FUND,,,,,,Procedural Court Fees
FOREN,AC75,FORENSIC SCIENCE IMPROVEMENT ASSESSMENT FUND,,,,,,Procedural Court Fees
AC26,AC26,GENERAL REVOLVING FUND,,,,,,Procedural Court Fees
AC35,AC35,INMATE JAIL COSTS/INCARCERATION FEES,,,,,,Jail Costs / Incarceration Fees
AC80,AC80,JAIL FUND (BOND FEE)-SHERIFF OR PRIVATE JAIL,,,,,,Sheriff's Fees 
BOJD,AC80,JAIL FUND (BOND FEE)-SHERIFF OR PRIVATE JAIL,,,,,,Sheriff's Fees 
BOJ,AC80,JAIL FUND (BOND FEE)-SHERIFF OR PRIVATE JAIL,,,,,,Sheriff's Fees 
LABO,,LAB ANALYSIS FEE,,,,,,Procedural Court Fees
LABP,,LAB ANALYSIS FEE,,,,,,Procedural Court Fees
AC23,AC23,LAW LIBRARY FEE,Courts,Judicial,,,,Procedural Court Fees
PFE7,AC23,LAW LIBRARY FEE,Courts,Judicial,,,,Procedural Court Fees
AC81,AC81,LENGTHY TRIAL FUND,,,,,,Procedural Court Fees
DUNLT,,LETTER MAILED - LATE PAYMENT,,,,,,Misc. / Other
AC36,AC36,LITTERING REWARD FUND,,,,,,Procedural Court Fees
AC56,AC56,LOCAL LAW ENFORCEMENT LAB ANALYSIS,,,,,,Procedural Court Fees
AC76,AC76,MEDICAL EXPENSE LIABILITY REVOLVING FUND TO OSEEGIB,,,,,,Procedural Court Fees
MELRF,AC76,MEDICAL EXPENSE LIABILITY REVOLVING FUND TO OSEEGIB,,,,,,Procedural Court Fees
TEXT,,MISCELLANEOUS,,,,,,Misc. / Other
AC30,AC30,MUNI/AGENCY FEES,,,,,,Procedural Court Fees
ACO2,ACO2,MUNICIPAL COURT COSTS,,,,,,Procedural Court Fees
NOF,,NOTICE OF FILING,,,,,,Procedural Court Fees
AC79,AC79,OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND,,,,,,Procedural Court Fees
OCISR,AC79,OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND,,,,,,Procedural Court Fees
OTC$$,,OKLAHOMA TAX COMMISSION MONIES RECEIVED FOR PAYMENT,,,,,,Misc. / Other 
AC85,AC85,OSBI DNA FEE,,,,,,Procedural Court Fees
AC34,AC34,OSBI DRUG CLEANUP,,,,,,Treatment / Rehabilitation Fees
AC55,AC55,OSBI LAB ANALYSIS,,,,,,Procedural Court Fees
AC68,AC68,PASSPORT FEES,,,,,,Procedural Court Fees
PR,,PERSONAL RECOGNIZANCE BOND,,,,,,Procedural Court Fees
AC17,AC17,PRE-SENTENCE INVESTIGATION FEE,,,,,,Procedural Court Fees
AC86,AC86,PREVENTION OF YOUTH ACCESS TO ALCOHOL REVOLVING FUND,,,,,,Procedural Court Fees
PJIJC,,PRIVATE JAIL INCARCERATION FEE,,,,,,Jail Costs / Incarceration Fees
AC52,AC52,RESTITUTION PAYMENTS PAID IN,,,,,,Procedural Court Fees
AC13,AC13,RETIREMENT SYSTEM PENSION FUND COSTS,,,,,,Procedural Court Fees
RETJS$,,RETURN JUDGEMENT & SENTENCE,,,,,,Procedural Court Fees
RETJSP$,,RETURN JUDGEMENT & SENTENCE - PRIVATE,,,,,,Procedural Court Fees
RTSUB$,,RETURN SUBPOENA FILED,,,,,,Procedural Court Fees
AC88,AC88,SHERIFF SERVICE FEE FOR COURTHOUSE SECURITY,,,,,,Procedural Court Fees
AC16,AC16,SHERIFF'S ENVIRONMENTAL REWARD FUND,,,,,,Procedural Court Fees
AC08,AC08,SHERIFF'S FEES,,,,,,Sheriff's Fees
SFIJC,,SHERIFF'S FUND - INCARCERATION / JAIL FEES,,,,,,Sheriff's Fees 
SORET,,SHERIFF'S RETURN TRANSPORTATION COSTS,,,,,,Sheriff's Fees
AC22,AC22,SHERIFF'S SERVICE FEE AND INCARCERATION FEE ACCOUNT,,,,,,Sheriff's Fees 
SSFCHS,,SHERIFF'S SERVICE FEE FOR COURT HOUSE SECURITY,,,,,,Sheriff's Fees 
SSF,,SHERIFF'S SERVICE FEE ON ARRESTS,,,,,,Sheriff's Fees 
TCS,,SHERIFF'S TRANSPORT COST,,,,,,Sheriff's Fees 
AC28,AC28,STATE GENERAL REVENUE FUND (TRAFFIC)-O. I. D. S.,,,,,,Procedural Court Fees
SIS$,,SUBPOENA ISSUED,,,,,,Procedural Court Fees
SS,,SUBPOENA SERVED,,,,,,Procedural Court Fees
SMI,,SUMMONS ISSUED,,,,,,Procedural Court Fees
BO,,SURETY / PROFESSIONAL BOND,,,,,,Procedural Court Fees
PYREQ,,TRANSCRIPT REQUEST,,,,,,Procedural Court Fees
TR,,TRANSFER OF FUNDS,,,,,,Misc. / Other (Did you forget to use ojo_fee_filter?)
BOTRF,,TRANSFERRED SURETY BOND,,,,,,Procedural Court Fees
AC78,AC78,TRAUMA CARE ASSISTANCE REVOLVING FUND,,,,,,Procedural Court Fees
TCARFF,AC78,TRAUMA CARE ASSISTANCE REVOLVING FUND ,,,,,,Procedural Court Fees
TCARF,AC78,TRAUMA CARE ASSISTANCE REVOLVING FUND (OKLAHOMA DEPARTMENT OF HEALTH),,,,,,Procedural Court Fees
AC12 ,AC12 ,VICTIM'S COMPENSATION ASSESSMENT (VCA),,,,,,Procedural Court Fees
VCA,AC12 ,VICTIM'S COMPENSATION ASSESSMENT (VCA),,,,,,Procedural Court Fees
AC87,AC87,WARRANT COLLECTION RECEIVED,,,,,,Procedural Court Fees
BWIAA,,WARRANT ISSUED - APPLICATION TO ACCELERATE,,,,,,Warrant Issuance
BWIAR,,WARRANT ISSUED - APPLICATION TO REVOKE,,,,,,Warrant Issuance
BWIFA,,WARRANT ISSUED - FAILURE TO APPEAR,,,,,,Warrant Issuance
BWIFAA,,WARRANT ISSUED - FAILURE TO APPEAR (APPLICATION TO ACCELERATE),,,,,,Warrant Issuance
BWIFAR,,WARRANT ISSUED - FAILURE TO APPEAR (APPLICATION TO REVOKE),,,,,,Warrant Issuance
BWIFAP,,WARRANT ISSUED - FAILURE TO APPEAR AND PAY,,,,,,Warrant Issuance (Failure to Pay)
BWIFC,,WARRANT ISSUED - FAILURE TO COMPLY,,,,,,Warrant Issuance
BWIFP,,WARRANT ISSUED - FAILURE TO PAY,,,,,,Warrant Issuance (Failure to Pay)
BWIR8,,WARRANT ISSUED - RULE 8,,,,,,Warrant Issuance (Failure to Pay)
WAI$,,WARRANT OF ARREST ISSUED,,,,,,Warrant Issuance
WHCI,,WRITE OF HABEAS CORPUS ISSUED,,,,,,Procedural Court Fees
